image,name,shape,color
square_blue.png,square_blue,shape/square_blue,blue
circle_blue.png,circle_blue,shape/circle_blue,blue
triangle_blue.png,triangle_blue,shape/triangle_blue,blue
star_blue.png,star_blue,shape/star_blue,blue
square_green.png,square_green,shape/square_green,green
circle_green.png,circle_green,shape/circle_green,green
triangle_green.png,triangle_green,shape/triangle_green,green
star_green.png,star_green,shape/star_green,green
square_red.png,square_red,shape/square_red,red
circle_red.png,circle_red,shape/circle_red,red
triangle_red.png,triangle_red,shape/triangle_red,red
star_red.png,star_red,shape/star_red,red
square_yellow.png,square_yellow,shape/square_yellow,yellow
circle_yellow.png,circle_yellow,shape/circle_yellow,yellow
triangle_yellow.png,triangle_yellow,shape/triangle_yellow,yellow
star_yellow.png,star_yellow,shape/star_yellow,yellow
